"id","nome","operadora","tipo_contrato","carencia","coberturas","observacoes","prazo_contrato","minimo_vidas"
1,"Dental 205","Amil","pf","Depende da forma de pagamento: pode ser 24h ou até 180 dias.","Urgência, consultas (inclusive sábado), limpeza, flúor, raio X, gengiva, canal, odontopediatria, restaurações, extrações (siso incluso), prótese ANS, documentação ortodôntica","Valor varia conforme número de vidas. Não cobre ortodontia estética, próteses especiais nem clareamento.",12,1
2,"Dental E50 Clareamento","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h ou até 90 dias.","Clareamento dentário caseiro, consultas, limpeza, flúor, canal, raio X, remoção de siso, documentação ortodôntica, pronto socorro 24h","Ideal para quem busca estética. Plano com ampla cobertura e rede exclusiva. Outro diferencial é que o E50 cobre toda prótese unitária na cor do dente (cerômero) e possui cobertura adicional de inlay e onlay.",12,1
3,"Dental E60 Prótese Clínica","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h ou até 180 dias.","Prótese removível, dentadura, coroa de resina, placa de bruxismo, clareamento, canal, limpeza, radiografia, documentação ortodôntica","Indicado para reposição de dentes e próteses visíveis. Rede dedicada para estética e cobertura ampla de reabilitação oral.",12,1
4,"Dental E80 Ortodontia","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 90 dias.","Ortodontia (documentação e manutenção), clareamento, consultas, urgência, canal, siso, documentação ortodôntica","Ideal para quem busca aparelho ortodôntico. Rede estética inclusa. Clareamento e manutenção de aparelho fixo fazem parte do pacote.",12,1
5,"Dental E90 Prótese Estética","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 180 dias.","Dentadura, ponte móvel, coroa de cerâmica e resina, bruxismo, clareamento, urgência, radiografias e profilaxia","Indicado para quem busca estética e reposição visível de dentes. Rede especializada, cobertura ampla com foco em prótese e conforto. Não cobre apenas implantes. Tirando isso, é o melhor plano de próteses do mercado, o mais completo!",12,1
6,"Dental E170 Prótese Estética com Ortodontia","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 180 dias.","Prótese cerâmica/resina, manutenção de aparelho fixo, clareamento, bruxismo, documentação ortodôntica, canal, raio X, consultas","Plano mais completo da linha PF. Une estética e ortodontia. Cobertura ampla, ideal para reabilitação e correção dental. Não cobre apenas implante.",12,1
7,"Dental K25 – Linha Kids","Amil","pf","Carência varia conforme forma de pagamento: pode ser 24h até 180 dias.","Tratamento infantil, restaurações, canal, urgência, extração de siso, documentação ortodôntica, próteses adaptadas para crianças","Exclusivo para crianças de até 13 anos e 11 meses. Ideal para cuidado odontológico infantil completo, com ampla cobertura e atendimento 24h.",12,1
8,"Dental 205 Empresarial","Amil","pj","24h para todos os procedimentos, exceto próteses (carência de 180 dias).","Consultas, urgência, limpeza, flúor, restaurações, canal, cirurgia de siso, documentação ortodôntica básica, prótese (Rol ANS)","Plano ideal para empresas MEI ou CNPJ com até 29 vidas. Cobertura ampla, preço acessível e início rápido: apenas 24h para usar a maioria dos procedimentos. Prótese possui carência de 180 dias.",24,2
9,"Dental E50 Clareamento Empresarial","Amil","pj","24h para todos os procedimentos, exceto clareamento e prótese (carência de 180 dias).","Clareamento, urgência 24h, canal, restauração, documentação ortodôntica, profilaxia, siso, radiografias","Perfeito para pessoas que buscam estética odontológica. Cobre todas as próteses unitárias na cor do dente (cerômero), além de inlay/onlay. Ativação em 24h, exceto estética/prótese (180 dias). Rede estética exclusiva da Amil.",24,2
10,"Dental E60 Prótese Clínica Empresarial","Amil","pj","24h para urgência, restaurações, canal, gengiva, documentação, cirurgias e consultas. 180 dias para estética, prótese e DTM.","Ponte móvel, dentadura, coroa de resina, bruxismo, clareamento, canal, gengiva, documentação ortodôntica","Foco em reposição dentária com início rápido (24h). Estética e prótese com carência de 180 dias. Rede estética especializada. Indicado para quem deseja um plano de reabilitação bucal.",24,2
