plano_id;id;nome_plano;operadora;tipo_contrato;prazo_contrato;forma_pagamento;preco;carencia;nivel;permite_mescla_planos;tem_ortodontia;tem_clareamento;tem_protese_rol;tem_protese_estetica;tem_implante;cobertura
1;amil_205;Dental 205;Amil;pf;12;Cartão de crédito (consome limite);49.99;24 horas para todos os procedimentos;padrao;false;False;False;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica, documentação básica
1;amil_205;Dental 205;Amil;pf;12;Boleto anual;599.88;24 horas para todos os procedimentos;padrao;false;False;False;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica, documentação básica
1;amil_205;Dental 205;Amil;pf;12;Cartão recorrente ou Boleto mensal;52.45;24h para urgência, 30 dias para consultas, 90 dias para dentística/cirurgias, 120 dias para canal e gengiva, 180 dias para prótese;estetico;false;False;False;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica, documentação básica
2;amil_e50;Dental E50 Clareamento;Amil;pf;12;Cartão de crédito (consome limite);89.36;24h para todos os procedimentos exceto clareamento estético (90 dias);estetico;false;False;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, prótese básica, documentação ortodôntica básica, clareamento, prótese de cerômero em todos os dentes
2;amil_e50;Dental E50 Clareamento;Amil;pf;12;Boleto anual;1072.32;24h para todos os procedimentos exceto clareamento estético (90 dias);estetico;false;False;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, prótese básica, documentação ortodôntica básica, clareamento, prótese de cerômero em todos os dentes
2;amil_e50;Dental E50 Clareamento;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;97.58;24h para urgência, 30 dias para consultas e diagnóstico, 60 dias para cirurgias e canal, 90 dias para prótese e estética;estetico;false;False;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, prótese básica, documentação ortodôntica básica, clareamento, prótese de cerômero em todos os dentes
3;amil_e60;Dental E60 Prótese Clínica;Amil;pf;12;Cartão de crédito (consome limite);159.48;24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias);estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento
3;amil_e60;Dental E60 Prótese Clínica;Amil;pf;12;Boleto anual;1913.76;24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias);estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento
3;amil_e60;Dental E60 Prótese Clínica;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;174.60;24h para urgência, 30 dias para consultas, 60 dias para cirurgias e canal, 120 dias para prótese Rol, 180 dias para estética e prótese dentária;estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento
4;amil_e80;Dental E80 Ortodontia;Amil;pf;12;Boleto anual;1398.00;24h para todos os procedimentos, ortodontia: 60 dias, estética: 90 dias;estetico;false;True;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico, clareamento
4;amil_e80;Dental E80 Ortodontia;Amil;pf;12;Cartão de crédito (consome limite);116.50;24h para todos os procedimentos, ortodontia: 60 dias, estética: 90 dias;estetico;false;True;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico, clareamento
4;amil_e80;Dental E80 Ortodontia;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;132.90;24h para urgência, 30 dias para consultas e diagnósticos, 60 dias para canal, ortodontia e cirurgias, 90 dias para prótese Rol e estética;estetico;false;True;True;True;False;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico, clareamento
5;amil_e90;Dental E90 Prótese Estética;Amil;pf;12;Cartão de crédito (consome limite);240.79;24h para todos os procedimentos, prótese estética e dor orofacial: 90 dias;estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay
5;amil_e90;Dental E90 Prótese Estética;Amil;pf;12;Boleto anual;2889.48;24h para todos os procedimentos, prótese estética e dor orofacial: 90 dias;estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay
5;amil_e90;Dental E90 Prótese Estética;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;265.56;24h para urgência, 30 dias para consultas e diagnóstico, 60 dias para cirurgias e canal, 120 dias para prótese Rol e dor orofacial, 180 dias para estética e prótese dentária;estetico;false;False;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, documentação ortodôntica básica, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay
6;amil_e170;Dental E170 Prótese Estética com Ortodontia;Amil;pf;12;Cartão de crédito (consome limite);260.01;24h para todos os procedimentos, ortodontia: 60 dias, estética e prótese: 90 dias;estetico;false;True;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico
6;amil_e170;Dental E170 Prótese Estética com Ortodontia;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;290.00;24h para urgência, 30 dias para consultas e diagnóstico, 60 dias para canal, ortodontia e cirurgias, 120 dias para prótese Rol, 180 dias para estética e prótese dentária;estetico;false;True;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico
6;amil_e170;Dental E170 Prótese Estética com Ortodontia;Amil;pf;12;Boleto anual;3120.12;24h para todos os procedimentos, ortodontia: 60 dias, estética e prótese: 90 dias;estetico;false;True;True;True;True;False;urgência, emergência, consulta, limpeza, profilaxia, flúor, raio x, radiografia, panorâmico, periapical, gengiva, periodontia, canal, endodontia, odontopediatria, restauração, dentística, cirurgia, extração, siso, prótese rol, próteses especiais, placa de bruxismo, dentadura, ponte móvel, clareamento, próteses em resina e cerâmica, onlay, inlay, documentação para aparelho ortodôntico, instalação e manutenção de aparelho fixo metálico
