plano_id;nome_plano;operadora;tipo_contrato;prazo_contrato;forma_pagamento;preco;carencia;prioridade;permite_mescla_planos;tem_ortodontia;tem_clareamento;tem_protese_rol;tem_protese_estetica;tem_implante
1;Dental 205;Amil;pf;12;Cartão de crédito (consome limite);49.99;24 horas para todos os procedimentos;1;false;False;False;True;False;False
1;Dental 205;Amil;pf;12;Boleto anual;599.88;24 horas para todos os procedimentos;1;false;False;False;True;False;False
1;Dental 205;Amil;pf;12;Cartão recorrente ou Boleto mensal;52.45;"24h para urgência; 30 dias para consultas; 90 dias para dentística/cirurgias; 120 dias para canal e gengiva; 180 dias para prótese";1;false;False;False;True;False;False
2;Dental E50 Clareamento;Amil;pf;12;Cartão de crédito (consome limite);89.36;24h para todos os procedimentos exceto clareamento estético (90 dias);1;false;False;True;True;False;False
2;Dental E50 Clareamento;Amil;pf;12;Boleto anual;1072.32;24h para todos os procedimentos exceto clareamento estético (90 dias);1;false;False;True;True;False;False
2;Dental E50 Clareamento;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;97.58;"24h para urgência; 30 dias para consultas e diagnóstico; 60 dias para cirurgias e canal; 90 dias para prótese e estética";1;false;False;True;True;False;False
3;Dental E60 Prótese Clínica;Amil;pf;12;Cartão de crédito (consome limite);159.48;24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias);1;false;False;True;True;True;False
3;Dental E60 Prótese Clínica;Amil;pf;12;Boleto anual;1913.76;24h para todos os procedimentos exceto estética, dor orofacial e prótese dentária (90 dias);1;false;False;True;True;True;False
3;Dental E60 Prótese Clínica;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;174.60;"24h para urgência; 30 dias para consultas; 60 dias para cirurgias e canal; 120 dias para prótese Rol; 180 dias para estética e prótese dentária";1;false;False;True;True;True;False
4;Dental E80 Ortodontia;Amil;pf;12;Boleto anual;1398.00;"24h para todos os procedimentos; ortodontia: 60 dias; estética: 90 dias";1;false;True;True;True;False;False
4;Dental E80 Ortodontia;Amil;pf;12;Cartão de crédito (consome limite);116.50;"24h para todos os procedimentos; ortodontia: 60 dias; estética: 90 dias";1;false;True;True;True;False;False
4;Dental E80 Ortodontia;Amil;pf;12;Cartão de crédito sem pegar limite ou Boleto mensal;132.90;"24h para urgência; 30 dias para consultas e diagnósticos; 60 dias para canal, ortodontia e cirurgias; 90 dias para prótese Rol e estética";1;false;True;True;True;False;False
